title,author,tags
The tree of liberty must be refreshed from time to time with the blood of patriots and tyrants.,Thomas Jefferson,"Time, Tree, Liberty"
A patriot must always be ready to defend his country against his government.,Edward Abbey,"Government, Always, Country"
This nation will remain the land of the free only so long as it is the home of the brave.,Elmer Davis,"Home, Brave, Long"
"Is life so dear or peace so sweet as to be purchased at the price of chains and slavery? Forbid it, Almighty God! I know not what course others may take, but as for me, give me liberty, or give me death!",Patrick Henry,"Life, God, Death"
"To survive in peace and harmony, united and strong, we must have one people, one nation, one flag.",Pauline Hanson,"Peace, Harmony, People"
A soldier will fight long and hard for a bit of colored ribbon.,Napoleon Bonaparte,"Fight, Long, Will"
Patriotism is not a short and frenzied outburst of emotion but the tranquil and steady dedication of a lifetime.,Adlai Stevenson II,"Dedication, Short, Emotion"
"Patriotism is when love of your own people comes first; nationalism, when hate for people other than your own comes first.",Charles de Gaulle,"Love, Hate, Your"
"America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand.",Harry S Truman,"Courage, Fear, Imagination"
"We, the People, recognize that we have responsibilities as well as rights; that our destinies are bound together; that a freedom which only asks what's in it for me, a freedom without a commitment to others, a freedom without love or charity or duty or patriotism, is unworthy of our founding ideals, and those who died in their defense.",Barack Obama,"Love, Freedom, Together"
"The greatness of America lies not in being more enlightened than any other nation, but rather in her ability to repair her faults.",Alexis de Tocqueville,"Greatness, America, Ability"
Patriotism is the last refuge of the scoundrel.,Samuel Johnson,"Last, Refuge, Scoundrel"
True patriotism hates injustice in its own land more than anywhere else.,Clarence Darrow,"Injustice, True, Own"
"If we ever forget that we are One Nation Under God, then we will be a nation gone under.",Ronald Reagan,"God, Will, Nation"
"The fight for freedom must go on until it is won; until our country is free and happy and peaceful as part of the community of man, we cannot rest.",Oliver Tambo,"Freedom, Man, Community"
"Let every nation know, whether it wishes us well or ill, that we shall pay any price, bear any burden, meet any hardship, support any friend, oppose any foe to assure the survival and the success of liberty.",John F. Kennedy,"Success, Survival, Support"
Real patriotism is a willingness to challenge the government when it's wrong.,Ron Paul,"Government, Challenge, Real"
"It was my duty to shoot the enemy, and I don't regret it. My regrets are for the people I couldn't save: Marines, soldiers, buddies. I'm not naive, and I don't romanticize war. The worst moments of my life have come as a SEAL. But I can stand before God with a clear conscience about doing my job.",Chris Kyle,"Life, God, War"
Dissent is the highest form of patriotism.,Howard Zinn,"Dissent, Form, Highest"
"I believe our flag is more than just cloth and ink. It is a universally recognized symbol that stands for liberty, and freedom. It is the history of our nation, and it's marked by the blood of those who died defending it.",John Thune,"History, Freedom, Believe"
Patriotism is the virtue of the vicious.,Oscar Wilde,"Virtue, Vicious"
"I saw courage both in the Vietnam War and in the struggle to stop it. I learned that patriotism includes protest, not just military service.",John F. Kerry,"Courage, War, Struggle"
Patriotism is your conviction that this country is superior to all others because you were born in it.,George Bernard Shaw,"Your, Country, Born"
"No matter that patriotism is too often the refuge of scoundrels. Dissent, rebellion, and all-around hell-raising remain the true duty of patriots.",Barbara Ehrenreich,"Duty, Matter, Rebellion"
There is much more to being a patriot and a citizen than reciting the pledge or raising a flag.,Jesse Ventura,"Flag, Much, Patriot"
"Patriotism is voluntary. It is a feeling of loyalty and allegiance that is the result of knowledge and belief. A patriot shows their their patriotism through their actions, by their choice.",Jesse Ventura,"Knowledge, Loyalty, Result"
"It is lamentable, that to be a good patriot one must become the enemy of the rest of mankind.",Voltaire,"Good, Rest, Enemy"
"The highest patriotism is not a blind acceptance of official policy, but a love of one's country deep enough to call her to a higher plain.",George McGovern,"Love, Acceptance, Blind"
Nationalism is a silly cock crowing on his own dunghill.,Richard Aldington,"Own, Nationalism, Silly"
