title,author,tags
You can be the moon and still be jealous of the stars.,Gary Allan,"Stars, Moon, Jealous"
Never underestimate the power of jealousy and the power of envy to destroy. Never underestimate that.,Oliver Stone,"Power, Underestimate, Envy"
The jealous are possessed by a mad devil and a dull spirit at the same time.,Johann Kaspar Lavater,"Time, Devil, Mad"
"As iron is eaten away by rust, so the envious are consumed by their own passion.",Antisthenes,"Passion, Own, Rust"
"There is no greater glory than love, nor any greater punishment than jealousy.",Lope de Vega,"Love, Punishment, Glory"
Jealousy is the tribute mediocrity pays to genius.,Fulton J. Sheen,"Genius, Mediocrity, Tribute"
"I think it's important to get your surroundings as well as yourself into a positive state - meaning surround yourself with positive people, not the kind who are negative and jealous of everything you do.",Heidi Klum,"Positive, Your, Surround Yourself"
"Don't waste time on jealousy. Sometimes you're ahead, sometimes you're behind.",Mary Schmich,"Time, Ahead, Sometimes"
"Jealousy is, I think, the worst of all faults because it makes a victim of both parties.",Gene Tierney,"Worst, Victim, Think"
Jealousy is a dog's bark which attracts thieves.,Karl Kraus,"Dog, Thieves, Bark"
"A negative judgment gives you more satisfaction than praise, provided it smacks of jealousy.",Jean Baudrillard,"Praise, Satisfaction, Negative"
"Life is one big road with lots of signs. So when you riding through the ruts, don't complicate your mind. Flee from hate, mischief and jealousy. Don't bury your thoughts, put your vision to reality. Wake Up and Live!",Bob Marley,"Life, Vision, Thoughts"
"The jealous are troublesome to others, but a torment to themselves.",William Penn,"Jealous, Others, Torment"
Jealousy is the fear or apprehension of superiority: envy our uneasiness under it.,William Shenstone,"Fear, Envy, Superiority"
"There's no regret. You can't regret. I mean, I've felt regret but I've also refused to allow regret to sow a seed and live in me because I don't believe it. You feel it, it's like guilt, it's like jealousy, it's like all those horrible things. You've just got to snip them and get them out, because they're no good.",Jude Law,"Good, Regret, Believe"
Jealousy is the jaundice of the soul.,John Dryden,Soul
"Jealousy, that dragon which slays love under the pretence of keeping it alive.",Havelock Ellis,"Love, Alive, Dragon"
"It is not love that is blind, but jealousy.",Lawrence Durrell,"Love, Blind"
"Hunger, revenge, to sleep are petty foes, But only death the jealous eyes can close.",William Wycherley,"Death, Eyes, Revenge"
Jealousy... is a mental cancer.,B. C. Forbes,"Mental, Cancer"
Jealousy is the fear of comparison.,Max Frisch,"Fear, Comparison"
"To jealousy, nothing is more frightful than laughter.",Francoise Sagan,"Laughter, Nothing, More"
Jealousy contains more of self-love than of love.,Francois de La Rochefoucauld,"Love, Self-Love, More"
"Magnanimous people have no vanity, they have no jealousy, and they feed on the true and the solid wherever they find it. And, what is more, they find it everywhere.",Van Wyck Brooks,"True, Find, People"
A competent and self-confident person is incapable of jealousy in anything. Jealousy is invariably a symptom of neurotic insecurity.,Robert A. Heinlein,"Insecurity, Person, Anything"
"Jealousy is the tie that binds, and binds, and binds.",Helen Rowland,"Tie, Binds"
"I am drawn to women who are independent and creative, which is problematic because it's a struggle, a competition of careers. There's jealousy.",Marilyn Manson,"Women, Struggle, Competition"
Jealousy is all the fun you think they had.,Erica Jong,"Fun, Think, Had"
Moral indignation is jealousy with a halo.,H. G. Wells,"Moral, Halo, Indignation"
"The envious die not once, but as oft as the envied win applause.",Baltasar Gracian,"Win, Die, Applause"
There is never jealousy where there is not strong regard.,Washington Irving,"Never, Strong, Where"
More men die of jealousy than of cancer.,Joseph P. Kennedy,"Men, Die, More"
"The lovesick, the betrayed, and the jealous all smell alike.",Sidonie Gabrielle Colette,"Smell, Jealous, Alike"
"I would rather drudge out my life on a cotton plantation, till the grave opened to give me rest, than to live with an unprincipled master and a jealous mistress.",Harriet Ann Jacobs,"Life, Rest, Me"
Jealousy - that jumble of secret worship and ostensible aversion.,Emil Cioran,"Secret, Worship, Aversion"
Jealousy is no more than feeling alone against smiling enemies.,Elizabeth Bowen,"Alone, Enemies, Feeling"
"Those who enjoy their own emotionally bad health and who habitually fill their own minds with the rank poisons of suspicion, jealousy and hatred, as a rule take umbrage at those who refuse to do likewise, and they find a perverted relief in trying to denigrate them.",Johannes Brahms,"Health, Bad, Find"
"Jealousy is both reasonable and belongs to reasonable men, while envy is base and belongs to the base, for the one makes himself get good things by jealousy, while the other does not allow his neighbour to have them through envy.",Aristotle,"Good, Men, Envy"
It will be found an unjust and unwise jealousy to deprive a man of his natural liberty upon the supposition he may abuse it.,George Washington,"Man, Will, Liberty"
"That's the way I got along in life. I don't ever remember being particularly jealous of anybody, because I figured if I can't do it myself, I don't deserve to get it.",Clyde Tombaugh,"Life, Myself, Remember"
He that is jealous is not in love.,Saint Augustine,"Love, Jealous, He"
Jealousy is never satisfied with anything short of an omniscience that would detect the subtlest fold of the heart.,George Eliot,"Heart, Never, Satisfied"
Those who are believed to be most abject and humble are usually most ambitious and envious.,Baruch Spinoza,"Humble, Who, Most"
