title,author,tags
"It is better to be feared than loved, if you cannot be both.",Niccolo Machiavelli,"Better, Loved, Cannot"
If you know the enemy and know yourself you need not fear the results of a hundred battles.,Sun Tzu,"Yourself, Battles, Know Yourself"
"I have learned over the years that when one's mind is made up, this diminishes fear; knowing what must be done does away with fear.",Rosa Parks,"Done, Mind, I Have Learned"
Have no fear of perfection - you'll never reach it.,Salvador Dali,"Perfection, No Fear, Never"
"The oldest and strongest emotion of mankind is fear, and the oldest and strongest kind of fear is fear of the unknown.",H. P. Lovecraft,"Unknown, Mankind, Emotion"
I tremble for my country when I reflect that God is just; that his justice cannot sleep forever.,Thomas Jefferson,"God, Justice, Sleep"
We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.,Plato,"Life, Men, Light"
Never be afraid to sit a while and think.,Lorraine Hansberry,"Never, Sit, Afraid"
"I may be compelled to face danger, but never fear it, and while our soldiers can stand and fight, I can stand and feed and nurse them.",Clara Barton,"Fight, Face, Stand"
Great work is done by people who are not afraid to be great.,Fernando Flores,"Work, Great, Done"
Ultimately we know deeply that the other side of every fear is freedom.,Marilyn Ferguson,"Freedom, Know, Side"
There is no such thing as paranoia. Your worst fears can come true at any moment.,Hunter S. Thompson,"Moment, Your, True"
"So then learn to conquer your fear. This is the only art we have to master nowadays: to look at things without fear, and to fearlessly do right.",Friedrich Durrenmatt,"Art, Your, Look"
Fear is excitement without breath.,Robert Heller,"Excitement, Breath, Without"
The only thing we have to fear is fear itself.,Franklin D. Roosevelt,"Only, The Only Thing, Itself"
"Show me a guy who's afraid to look bad, and I'll show you a guy you can beat every time.",Lou Brock,"Time, Me, Look"
Do what you fear and fear disappears.,David Joseph Schwartz,"Disappears, You"
Find out what you're afraid of and go live there.,Chuck Palahniuk,"Find, Live, Go"
There are times when fear is good. It must keep its watchful place at the heart's controls.,Aeschylus,"Good, Heart, Keep"
I think fearless is having fears but jumping anyway.,Taylor Swift,"Fearless, Think, Jumping"
Always do what you are afraid to do.,Ralph Waldo Emerson,"Always, Afraid, You"
"Fear keeps us focused on the past or worried about the future. If we can acknowledge our fear, we can realize that right now we are okay. Right now, today, we are still alive, and our bodies are working marvelously. Our eyes can still see the beautiful sky. Our ears can still hear the voices of our loved ones.",Thich Nhat Hanh,"Future, Today, Beautiful"
Nothing gives a fearful man more courage than another's fear.,Umberto Eco,"Courage, Man, Nothing"
Only when we are no longer afraid do we begin to live.,Dorothy Thompson,"Live, Afraid, Only"
"We should not be afraid to go into a new era, to leave the old beyond.",Zach Wamp,"New, Go, Beyond"
"I'm not afraid of storms, for I'm learning how to sail my ship.",Louisa May Alcott,"Learning, Ship, Sail"
Hate is the consequence of fear; we fear something before we hate it; a child who fears noises becomes a man who hates noise.,Cyril Connolly,"Hate, Man, Noise"
I say I am stronger than fear.,Malala Yousafzai,"I Am, Stronger, Say"
"Fear stifles our thinking and actions. It creates indecisiveness that results in stagnation. I have known talented people who procrastinate indefinitely rather than risk failure. Lost opportunities cause erosion of confidence, and the downward spiral begins.",Charles Stanley,"Failure, Confidence, Thinking"
Thinking will not overcome fear but action will.,W. Clement Stone,"Thinking, Will, Action"
"I hasten to laugh at everything, for fear of being obliged to weep.",Pierre Beaumarchais,"Laugh, Everything, Being"
Love is what we were born with. Fear is what we learned here.,Marianne Williamson,"Love, Love Is, Born"
"Fear can be good when you're walking past an alley at night or when you need to check the locks on your doors before you go to bed, but it's not good when you have a goal and you're fearful of obstacles. We often get trapped by our fears, but anyone who has had success has failed before.",Queen Latifah,"Success, Good, Your"
"I love the man that can smile in trouble, that can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but he whose heart is firm, and whose conscience approves his conduct, will pursue his principles unto death.",Thomas Paine,"Love, Smile, Death"
To him who is in fear everything rustles.,Sophocles,"Everything, Who, Him"
"There is no hope unmingled with fear, and no fear unmingled with hope.",Baruch Spinoza,"Hope, No Fear, No Hope"
We simply attempt to be fearful when others are greedy and to be greedy only when others are fearful.,Warren Buffett,"Others, Greedy, Only"
We consume our tomorrows fretting about our yesterdays.,Persius,"About, Our, Consume"
"What is needed, rather than running away or controlling or suppressing or any other resistance, is understanding fear; that means, watch it, learn about it, come directly into contact with it. We are to learn about fear, not how to escape from it.",Jiddu Krishnamurti,"Escape, Understanding, Resistance"
We fear things in proportion to our ignorance of them.,Christian Nestell Bovee,"Ignorance, Things, Them"
We are afraid of the enormity of the possible.,Emil Cioran,"Possible, Afraid, Enormity"
"What is a fear of living? It's being preeminently afraid of dying. It is not doing what you came here to do, out of timidity and spinelessness. The antidote is to take full responsibility for yourself - for the time you take up and the space you occupy. If you don't know what you're here to do, then just do some good.",Maya Angelou,"Good, Time, Space"
Fear has many eyes and can see things underground.,Miguel de Cervantes,"Eyes, See, Things"
I have a fear of being boring.,Christian Bale,"Boring, Being"
A nation that is afraid to let its people judge the truth and falsehood in an open market is a nation that is afraid of its people.,John F. Kennedy,"Truth, People, Nation"
Avoiding danger is no safer in the long run than outright exposure. The fearful are caught as often as the bold.,Helen Keller,"Long, Bold, Danger"
There are very few monsters who warrant the fear we have of them.,Andre Gide,"Monsters, Who, Them"
"By adversity are wrought the greatest works of admiration, and all the fair examples of renown, out of distress and misery are grown.",Samuel Daniel,"Adversity, Misery, Fair"
Fear is the mother of foresight.,Thomas Hardy,"Mother, Foresight"
"Grief has limits, whereas apprehension has none. For we grieve only for what we know has happened, but we fear all that possibly may happen.",Pliny the Elder,"Limits, Know, Grief"
"One of the greatest discoveries a man makes, one of his great surprises, is to find he can do what he was afraid he couldn't do.",Henry Ford,"Great, Man, Find"
Fears are nothing more than a state of mind.,Napoleon Hill,"Mind, Nothing, More"
Fear tastes like a rusty knife and do not let her into your house.,John Cheever,"Your, Knife, House"
Don't be afraid to see what you see.,Ronald Reagan,"See, Afraid, You"
True success is overcoming the fear of being unsuccessful.,Paul Sweeney,"Success, True, Overcoming"
He will never have true friends who is afraid of making enemies.,William Hazlitt,"Enemies, Will, True"
"As soon as the fear approaches near, attack and destroy it.",Chanakya,"Attack, Destroy, Soon"
Fear is static that prevents me from hearing myself.,Samuel Butler,"Myself, Me, Hearing"
Prosperity is not without many fears and distastes; adversity not without many comforts and hopes.,Francis Bacon,"Adversity, Prosperity, Without"
Minds that are ill at ease are agitated by both hope and fear.,Ovid,"Hope, Ease, Minds"
"Pick the day. Enjoy it - to the hilt. The day as it comes. People as they come... The past, I think, has helped me appreciate the present - and I don't want to spoil any of it by fretting about the future.",Audrey Hepburn,"Future, Day, Past"
I have never known any distress that an hour's reading did not relieve.,Montesquieu,"Never, Reading, Distress"
"Boldness is a mask for fear, however great.",John Dryden,"Great, Mask, Boldness"
