title,author,tags
Our sweetest songs are those that tell of saddest thought.,Percy Bysshe Shelley,"Tell, Thought, Sweetest"
"For all sad words of tongue and pen, The saddest are these, 'It might have been'.",John Greenleaf Whittier,"Pen, Words, Tongue"
"There is a sacredness in tears. They are not the mark of weakness, but of power. They speak more eloquently than ten thousand tongues. They are the messengers of overwhelming grief, of deep contrition, and of unspeakable love.",Washington Irving,"Love, Power, Tears"
"Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that's just the way it is!",Dita Von Teese,"Happiness, Good, Experience"
"Heavy hearts, like heavy clouds in the sky, are best relieved by the letting of a little water.",Christopher Morley,"Best, Sky, Clouds"
Nothing is more sad than the death of an illusion.,Arthur Koestler,"Death, Illusion, Nothing"
"Every human walks around with a certain kind of sadness. They may not wear it on their sleeves, but it's there if you look deep.",Taraji P. Henson,"Look, Sadness, Human"
To have felt too much is to end in feeling nothing.,Dorothy Thompson,"Nothing, End, Feeling"
"First, accept sadness. Realize that without losing, winning isn't so great.",Alyssa Milano,"Great, Winning, Sadness"
"Every life has a measure of sorrow, and sometimes this is what awakens us.",Steven Tyler,"Life, Sometimes, Measure"
"Crying is cleansing. There's a reason for tears, happiness or sadness.",Dionne Warwick,"Happiness, Tears, Sadness"
"Good humor is the health of the soul, sadness is its poison.","Philip Stanhope, 4th Earl of Chesterfield","Health, Good, Humor"
A sad soul can kill quicker than a germ.,John Steinbeck,"Soul, Than, Germ"
"Worry never robs tomorrow of its sorrow, it only saps today of its joy.",Leo Buscaglia,"Today, Tomorrow, Joy"
It doesn't hurt to feel sad from time to time.,Willie Nelson,"Time, Feel, Hurt"
"We look before and after, And pine for what is not; Our sincerest laughter With some pain is fraught; Our sweetest songs are those that tell of saddest thought.",Percy Bysshe Shelley,"Pain, Laughter, Look"
Depression is the inability to construct a future.,Rollo May,"Future, Depression, Inability"
Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.,Henry Wadsworth Longfellow,"Man, World, Cold"
Tears come from the heart and not from the brain.,Leonardo da Vinci,"Brain, Heart, Tears"
The sad truth is that opportunity doesn't knock twice.,Gloria Estefan,"Truth, Opportunity, Truth Is"
"I really believe that all of us have a lot of darkness in our souls. Anger, rage, fear, sadness. I don't think that's only reserved for people who have horrible upbringings. I think it really exists and is part of the human condition. I think in the course of your life you figure out ways to deal with that.",Kevin Bacon,"Life, Anger, Fear"
Don't grieve. Anything you lose comes round in another form.,Rumi,"Lose, Anything, Round"
"The tragedy of life is in what dies inside a man while he lives - the death of genuine feeling, the death of inspired response, the awareness that makes it possible to feel the pain or the glory of other men in yourself.",Norman Cousins,"Life, Death, Men"
"Nobody understands another's sorrow, and nobody another's joy.",Franz Schubert,"Joy, Nobody, Sorrow"
Dying is only one thing to be sad over... Living unhappily is something else.,Morrie Schwartz,"Living, Something, Only"
"I do believe that if you haven't learnt about sadness, you cannot appreciate happiness.",Nana Mouskouri,"Happiness, Believe, Sadness"
Delicious tears! The heart's own dew.,Letitia Elizabeth Landon,"Heart, Tears, Own"
Sadness flies away on the wings of time.,Jean de La Fontaine,"Time, Wings, Sadness"
"Oh, I am very weary, Though tears no longer flow; My eyes are tired of weeping, My heart is sick of woe.",Anne Bronte,"Eyes, Heart, Tired"
"Make the most of your regrets; never smother your sorrow, but tend and cherish it till it comes to have a separate and integral interest. To regret deeply is to live afresh.",Henry David Thoreau,"Regret, Your, Never"
The walls we build around us to keep sadness out also keeps out the joy.,Jim Rohn,"Joy, Keep, Sadness"
The word 'happy' would lose its meaning if it were not balanced by sadness.,Carl Jung,"Lose, Sadness, Happy"
"There is no despair so absolute as that which comes with the first moments of our first great sorrow, when we have not yet known what it is to have suffered and be healed, to have despaired and have recovered hope.",George Eliot,"Hope, Great, Sorrow"
The sad truth is that most evil is done by people who never make up their minds to be good or evil.,Hannah Arendt,"Truth, Good, Done"
"The rose and the thorn, and sorrow and gladness are linked together.",Saadi,"Together, Sorrow, Rose"
It's a sad man my friend who's livin' in his own skin and can't stand the company.,Bruce Springsteen,"Man, Skin, Stand"
"Affliction comes to us, not to make us sad but sober; not to make us sorry but wise.",H. G. Wells,"Wise, Sober, Sorry"
"Experiencing sadness and anger can make you feel more creative, and by being creative, you can get beyond your pain or negativity.",Yoko Ono,"Anger, Pain, Your"
Sadness is but a wall between two gardens.,Khalil Gibran,"Sadness, Two, Wall"
"Absence from whom we love is worse than death, and frustrates hope severer than despair.",William Cowper,"Love, Death, Hope"
Sadness is also a kind of defence.,Ivo Andric,"Sadness, Defence, Also"
A tragedy need not have blood and death; it's enough that it all be filled with that majestic sadness that is the pleasure of tragedy.,Jean Racine,"Death, Sadness, Enough"
I had sadness for breakfast.,Andy Milonakis,"Breakfast, Sadness, Had"
"If you don't know about pain and trouble, you're in sad shape. They make you appreciate life.",Evel Knievel,"Life, Pain, Know"
Sad will be the day for any man when he becomes contented with the thoughts he is thinking and the deeds he is doing - where there is not forever beating at the doors of his soul some great desire to do something larger; which he knows he was meant and made to do.,Phillips Brooks,"Great, Thoughts, Man"
"Sorrows are like thunderclouds, in the distance they look black, over our heads scarcely gray.",Jean Paul,"Look, Black, Distance"
If we could read the secret history of our enemies we should find in each man's life sorrow and suffering enough to disarm all hostility.,Henry Wadsworth Longfellow,"Life, History, Man"
Red is the ultimate cure for sadness.,Bill Blass,"Sadness, Red, Ultimate"
Proud people breed sad sorrows for themselves.,Emily Bronte,"Proud, People, Breed"
Sad things happen. They do. But we don't need to live sad forever.,Mattie Stepanek,"Things Happen, Live, Forever"
A teardrop on earth summons the King of heaven.,Charles R. Swindoll,"King, Heaven, Earth"
"In this world, full often, our joys are only the tender shadows which our sorrows cast.",Henry Ward Beecher,"World, Shadows, Only"
"Those who don't know how to weep with their whole heart, don't know how to laugh either.",Golda Meir,"Heart, Laugh, Know"
"Above all things let us never forget that mankind constitutes one great brotherhood; all born to encounter suffering and sorrow, and therefore bound to sympathize with each other.",Albert Pike,"Great, Suffering, Never Forget"
"Do not make best friends with a melancholy sad soul. They always are heavily loaded, and you must bear half.",Francois Fenelon,"Best, Always, Soul"
Your pain is the breaking of the shell that encloses your understanding.,Khalil Gibran,"Pain, Your, Understanding"
One must not let oneself be overwhelmed by sadness.,Jackie Kennedy,"Sadness, Overwhelmed, Must"
"Actually, the moment of victory is wonderful, but also sad. It means that your trip is ended.",Bill Toomey,"Moment, Your, Victory"
"We're taught to be ashamed of confusion, anger, fear and sadness, and to me they're of equal value to happiness, excitement and inspiration.",Alanis Morissette,"Happiness, Anger, Fear"
"For I have learned to look on nature, not as in the hour of thoughtless youth, but hearing oftentimes the still, sad music of humanity.",William Wordsworth,"Nature, Music, Youth"
"Participate joyfully in the sorrows of the world. We cannot cure the world of sorrows, but we can choose to live in joy.",Joseph Campbell,"World, Joy, Live"
Your joys and sorrows. You can never tell them. You cheapen the inside of yourself if you do tell them.,Greta Garbo,"Your, Yourself, Never"
"My parents' divorce left me with a lot of sadness and pain and acting, and especially humour, was my way of dealing with all that.",Jennifer Aniston,"Pain, Parents, Me"
"We never taste happiness in perfection, our most fortunate successes are mixed with sadness.",Pierre Corneille,"Happiness, Perfection, Sadness"
Tears are nature's lotion for the eyes. The eyes see better for being washed by them.,Christian Nestell Bovee,"Nature, Eyes, Better"
In deep sadness there is no place for sentimentality.,William S. Burroughs,"Sadness, Place, Deep"
The keenest sorrow is to recognize ourselves as the sole cause of all our adversities.,Sophocles,"Sorrow, Sole, Recognize"
"When you are joyous, look deep into your heart and you shall find it is only that which has given you sorrow that is giving you joy. When you are sorrowful look again in your heart, and you shall see that in truth you are weeping for that which has been your delight.",Khalil Gibran,"Truth, Heart, Your"
"I love my past, I love my present. I am not ashamed of what I have had, and I am not sad because I no longer have it.",Sidonie Gabrielle Colette,"Love, Past, I Am"
"People are sad. People are broke. People are worried about money, people are worried that they're not enough and not amounting to anything and they don't feel good about themselves. People have rough times, and everybody's pretending it's not true, and we need to break that veneer.",Eve Ensler,"Good, Money, True"
They say it's better to bury your sadness in a graveyard or garden that waits for the spring to wake from its sleep and burst into green.,Conor Oberst,"Spring, Your, Green"
